FID,Shape *,LAB_REF,C14AGE,C14_STANDA,Period,COUNTY,Country,C14_MATERIAL,SITE_NAME,Overall context,C14_TAXON_,SPECIES_TR,MUNICIPALI,LATITUDE,LONGITUDE,Bioregion
1792,Point,T-12760,2573,67,800-600 BC,Akershus,Norway,Charcoal,Haug,Settlement site,"Betula, Pinus",Betula,Ullensaker,60.1333,11.15,Boreal
1793,Point,T-12760,2573,67,800-600 BC,Akershus,Norway,Charcoal,Haug,Settlement site,"Betula, Pinus",Pinus,Ullensaker,60.1333,11.15,Boreal
1794,Point,T-8503,898,66,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,Betula,Betula,Bykle,59.5667,7.3667,Alpine
1795,Point,T-8456,896,66,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,Betula,Betula,Bykle,59.5667,7.3667,Alpine
1796,Point,T-8467,871,66,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden 2,Iron production site,Betula,Betula,Bykle,59.5667,7.35,Alpine
1797,Point,T-10338,774,66,1000-1200 AD,Aust-Agder,Norway,Charcoal,Breive,Iron production site,Betula,Betula,Bykle,59.5667,7.3,Alpine
1798,Point,T-14458,943,66,1000-1200 AD,Buskerud,Norway,Charcoal,Tandberg øvre,Iron production site,Pinus,Pinus,Ringerike,60.25,10.25,Boreal
1799,Point,T-9797,932,66,1000-1200 AD,Akershus,Norway,Charcoal,Holkeby,Iron production site,Picea,Picea,Nannestad,60.25,11.0833,Boreal
1800,Point,T-12974,912,66,1000-1200 AD,Hedmark,Norway,Charcoal,Riskogskoia,Iron production site,Pinus,Pinus,Åmot,62.1667,11.4,Alpine
1801,Point,T-14633,869,66,1000-1200 AD,Buskerud,Norway,Charcoal,Hverven,Iron production site,Pinus,Pinus,Ringerike,60.1667,10.25,Boreal
1802,Point,T-17620,854,66,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjell,Iron production site,Picea,Picea,Åmot,61.2833,11.65,Boreal
1803,Point,T-8461,743,66,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,Betula,Betula,Bykle,59.5667,7.3667,Alpine
1804,Point,T-13465,732,66,1000-1200 AD,Aust-Agder,Norway,Charcoal,Bestestøylen,Iron production site,Betula,Betula,Bykle,59.55,7.35,Alpine
1805,Point,T-13123,871,66,1000-1200 AD,Vest-Agder,Norway,Charcoal,Lyngdal prestegård,Other,Betula,Betula,Lyngdal,58.1333,7.1,Atlantic
1806,Point,T-9214,906,66,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden,Other,Betula,Betula,Bykle,59.5667,7.3833,Alpine
1807,Point,T-9203,879,66,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden,Other,Betula,Betula,Bykle,59.5667,7.3833,Alpine
1808,Point,T-9204,760,66,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden,Other,Betula,Betula,Bykle,59.5667,7.3833,Alpine
1809,Point,T-9224,878,66,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden,Other,Pinus,Pinus,Bykle,59.5667,7.3833,Alpine
1810,Point,T-11090,828,66,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden Skisenter 2,Iron production site,Betula,Betula,Bykle,59.5833,7.35,Alpine
1811,Point,T-17638,866,66,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjell,Iron production site,Pinus,Pinus,Åmot,61.2833,11.65,Boreal
1812,Point,T-8473,910,66,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden 2,Other,Betula,Betula,Bykle,59.5667,7.35,Alpine
1813,Point,T-17603,978,66,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjell,Other,Pinus,Pinus,Åmot,61.2833,11.65,Boreal
1814,Point,T-9600,807,66,1000-1200 AD,Oppland,Norway,Charcoal,Nordsetra,Other,Betula,Betula,Tesse,61.8,8.9167,Alpine
1815,Point,T-10483,1971,66,1-200 AD,Vest-Agder,Norway,Charcoal,Lundevågen,Settlement site,"Betula, Corylus",Corylus,Farsund,58.0833,6.7833,Atlantic
1816,Point,T-10484,1956,66,1-200 AD,Vest-Agder,Norway,Charcoal,Lundevågen,Settlement site,"Betula, Corylus",Corylus,Farsund,58.0833,6.7833,Atlantic
1817,Point,Tua-1935,1905,66,1-200 AD,Akershus,Norway,Charcoal,Moer Nordre,Other,Corylus,Corylus,Ås,59.65,10.8,Boreal
1818,Point,Tua-1655,1925,66,1-200 AD,Østfold,Norway,Charcoal,Rør søndre,Settlement site,"Betula, Quercus",Betula,Rygge,59.35,10.7333,Boreal
1819,Point,Tua-1655,1925,66,1-200 AD,Østfold,Norway,Charcoal,Rør søndre,Settlement site,"Betula, Quercus",Quercus,Rygge,59.35,10.7333,Boreal
1820,Point,T-8512,634,66,1200-1400 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,"Betula, Juniper",Betula,Bykle,59.5667,7.3667,Alpine
1821,Point,T-8512,634,66,1200-1400 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,"Betula, Juniper",Juniper,Bykle,59.5667,7.3667,Alpine
1822,Point,T-14486,756,66,1200-1400 AD,Akershus,Norway,Charcoal,Bølstad,Other,"Prunus, Salix",Salix,Ås,59.7333,10.7667,Boreal
1823,Point,T-14486,756,66,1200-1400 AD,Akershus,Norway,Charcoal,Bølstad,Other,"Prunus, Salix",Prunus,Ås,59.7333,10.7667,Boreal
1824,Point,T-10635,705,66,1200-1400 AD,Aust-Agder,Norway,Charcoal,Hovden Skisenter 1,Iron production site,Betula,Betula,Bykle,59.5667,7.35,Alpine
1825,Point,T-13030,676,66,1200-1400 AD,Buskerud,Norway,Charcoal,Lekshus,Iron production site,Betula,Betula,Hol,60.55,8.1333,Alpine
1826,Point,T-8460,674,66,1200-1400 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,Betula,Betula,Bykle,59.5667,7.3667,Alpine
1827,Point,T-12779,775,66,1200-1400 AD,Akershus,Norway,Charcoal,Haug,Iron production site,Pinus,Pinus,Ullensaker,60.1333,11.15,Boreal
1828,Point,T-10931,766,66,1200-1400 AD,Oppland,Norway,Charcoal,Rinddal,Iron production site,Picea,Picea,Lillehammer,61.05,10.4333,Boreal
1829,Point,T-8482,586,66,1200-1400 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,Betula,Betula,Bykle,59.5667,7.3667,Alpine
1830,Point,T-12162,779,66,1200-1400 AD,Akershus,Norway,Charcoal,Lyshaug,Other,Betula,Betula,Nannestad,60.1667,11.0667,Boreal
1831,Point,T-9222,809,66,1200-1400 AD,Aust-Agder,Norway,Charcoal,Hovden,Other,Pinus,Pinus,Bykle,59.5667,7.3833,Alpine
1832,Point,T-11091,586,66,1200-1400 AD,Aust-Agder,Norway,Charcoal,Hovden aust,Iron production site,Betula,Betula,Bykle,59.5667,7.3833,Alpine
1833,Point,T-9023,758,66,1200-1400 AD,Akershus,Norway,Charcoal,Ris,Other,Picea,Picea,Ås,60.25,11.25,Boreal
1834,Point,Tua-451,326,66,1400-1600 AD,Oppland,Norway,Charcoal,Øverbymarka,Other,Pinus,Pinus,Gjøvik,60.8,10.65,Boreal
1835,Point,Tua-1157,3363,66,1800-1600 BC,Akershus,Norway,Charcoal,Åsgårdkrysset,Other,Ulmus,Ulmus,Borge,59.1833,11.05,Boreal
1836,Point,T-10483,1971,66,200-1 BC,Vest-Agder,Norway,Charcoal,Lundevågen,Settlement site,"Betula, Corylus",Betula,Farsund,58.0833,6.7833,Atlantic
1837,Point,T-10484,1956,66,200-1 BC,Vest-Agder,Norway,Charcoal,Lundevågen,Settlement site,"Betula, Corylus",Betula,Farsund,58.0833,6.7833,Atlantic
1838,Point,T-12156,2083,66,200-1 BC,Akershus,Norway,Charcoal,Flyplassområdet,Other,Betula,Betula,Nannestad,60.2333,11.0833,Boreal
1839,Point,T-12659,1804,66,200-400 AD,Hedmark,Norway,Charcoal,Persmyra 1,Other,Pinus,Pinus,Åmot,61.2,11.4333,Boreal
1840,Point,T-11470,1675,66,200-400 AD,Akershus,Norway,Charcoal,Skinnfellholtet,Other,Betula,Betula,Ullensaker,60.1333,11.2,Boreal
1841,Point,Tua-1546,1662,66,200-400 AD,Akershus,Norway,Hazel nutshell,Kvestad,Settlement site,Hazel nutshell,Corylus,Ås,59.6833,10.7667,Boreal
1842,Point,T-12966,1665,66,200-400 AD,Hedmark,Norway,Bark,Risskogmyra,Other,Pinus,Pinus,Åmot,61.1833,11.4333,Boreal
1843,Point,Tua-1678,4772,66,3600-3400 BC,Hedmark,Norway,Charcoal,Persmyrkoia,Other,Pinus,Pinus,Åmot,61.2,11.45,Boreal
1844,Point,T-8728,2145,66,400-200 BC,Østfold,Norway,Charcoal,Sand,Settlement site,"Alnus, Corylus",Alnus,Eidsberg,59.5167,11.3333,Boreal
1845,Point,T-8728,2145,66,400-200 BC,Østfold,Norway,Charcoal,Sand,Settlement site,"Alnus, Corylus",Corylus,Eidsberg,59.5167,11.3333,Boreal
1846,Point,T-15660,2222,66,400-200 BC,Akershus,Norway,Charcoal,Sørum1,Other,Betula,Betula,Sørum,60.5167,10.3,Boreal
1847,Point,Tua-1616,2187,66,400-200 BC,Akershus,Norway,Charcoal,Hol Østre,Settlement site,Pinus,Pinus,Nannestad,60.25,11.0167,Boreal
1848,Point,Tua-708,1504,66,400-600 AD,Akershus,Norway,Charcoal,Brattfoss,Settlement site,Corylus,Corylus,Ullensaker,60.1167,11.25,Boreal
1849,Point,T-14368,1642,66,400-600 AD,Akershus,Norway,Charcoal,Huseby/Sørum prestegård,Settlement site,Betula,Betula,Sørum,60.0167,11.25,Boreal
1850,Point,Tua-704,5218,66,4200-4000 BC,Vestfold,Norway,Charcoal,Løve mellem,Other,Quercus,Quercus,Larvik,59.8333,10.1167,Boreal
1851,Point,Tua-3009,2377,66,600-400 BC,Akershus,Norway,Charcoal,Moer Nordre,Settlement site,Salix/Populus,Salix,Ås,59.65,10.8,Boreal
1852,Point,Tua-3000,1230,66,600-800 AD,Akershus,Norway,Charcoal,Treider,Other,Betula,Betula,Ås,59.6667,10.7333,Boreal
1853,Point,Tua-2665,1420,66,600-800 AD,Vestfold,Norway,Charcoal,Borre Nasjonalpark,Settlement site,Tilia,Tilia,Borre,59.3833,10.4667,Boreal
1854,Point,Tua-1590,1260,66,600-800 AD,Østfold,Norway,Charcoal,Rør nordre,Settlement site,Betula,Betula,Rygge,59.35,10.7333,Boreal
1855,Point,T-9717,1096,66,600-800 AD,Aust-Agder,Norway,Charcoal,Hovden Fjellpark,Iron production site,Betula,Betula,Bykle,59.55,7.3333,Alpine
1856,Point,T-9377,1229,66,600-800 AD,Hedmark,Norway,Wood,Knuklia-Svartdalen,Other,Picea,Picea,Stange,60.6,11.3667,Boreal
1857,Point,T-8498,985,66,800-1000 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,Betula,Betula,Bykle,59.5667,7.3667,Alpine
1858,Point,T-13044,1058,66,800-1000 AD,Buskerud,Norway,Charcoal,Lundestad,Iron production site,Pinus,Pinus,Ringerike,60.2,10.2333,Boreal
1859,Point,T-8465,916,66,800-1000 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,Betula,Betula,Bykle,59.5667,7.3667,Alpine
1860,Point,T-8541,941,66,800-1000 AD,Buskerud,Norway,Charcoal,Hellan,Other,Betula,Betula,Ål,60.75,8.5833,Alpine
1861,Point,T-19189,795,65,1000-1200 AD,Buskerud,Norway,Charcoal,Nedrestøl,Iron production site,"Betula, Populus, Salix caprea/Salix",Betula,Hol,60.482,8.076,Alpine
1862,Point,T-11678,975,65,1000-1200 AD,Hedmark,Norway,Charcoal,Rødsmoen,Iron production site,"Alnus, Picea, Betulus",Picea,Åmot,61.137,11.443,Boreal
1863,Point,T-11678,975,65,1000-1200 AD,Hedmark,Norway,Charcoal,Rødsmoen,Iron production site,"Alnus, Picea, Betulus",Alnus,Åmot,61.137,11.443,Boreal
1864,Point,T-16175,960,65,1000-1200 AD,Oppland,Norway,Charcoal,Børrenøse,Iron production site,Pinus/Betula,Pinus,Vang,61.156,8.743,Alpine
1865,Point,T-16912,900,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Betula/Pinus,Betula,Åmot,61.137,11.443,Boreal
1866,Point,T-16912,900,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Betula/Pinus,Pinus,Åmot,61.137,11.443,Boreal
1867,Point,T-19141,1040,65,1000-1200 AD,Buskerud,Norway,Charcoal,Jfp.12,Iron production site,Pinus,Pinus,Hol,60.482,8.076,Alpine
1868,Point,T-18952,1035,65,1000-1200 AD,Oppland,Norway,Charcoal,Øvre Gudbr,Iron production site,Picea,Picea,Vang,61.156,8.743,Alpine
1869,Point,T-17562,1030,65,1000-1200 AD,Telemark,Norway,Charcoal,Storhaug,Iron production site,Pinus,Pinus,Vinje,59.828,8.117,Alpine
1870,Point,T-17719,1030,65,1000-1200 AD,Oppland,Norway,Charcoal,"Beito, Lepo",Iron production site,Pinus,Pinus,Øystre Slidre,61.184,9.06,Boreal
1871,Point,T-19363,885,65,1000-1200 AD,Telemark,Norway,Charcoal,Torehovet,Iron production site,Betula,Betula,Vinje,59.828,8.117,Alpine
1872,Point,T-9555,875,65,1000-1200 AD,Telemark,Norway,Charcoal,Ø. Hauge,Iron production site,Betula,Betula,Kviteseid,59.39,8.468,Boreal
1873,Point,T-8489,831,65,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden 2,Iron production site,Betula,Betula,Bykle,59.5667,7.35,Alpine
1874,Point,T-17710,810,65,1000-1200 AD,Oppland,Norway,Charcoal,Møsasvøo,Iron production site,Betula,Betula,Øystre Slidre,61.184,9.06,Boreal
1875,Point,T-10337,800,65,1000-1200 AD,Aust-Agder,Norway,Charcoal,Breive,Iron production site,Betula,Betula,Bykle,59.5667,7.3,Alpine
1876,Point,T-8463,763,65,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,Betula,Betula,Bykle,59.5667,7.3667,Alpine
1877,Point,T-17990,1010,65,1000-1200 AD,Hedmark,Norway,Charcoal,Jfp.6,Iron production site,Picea,Picea,Åmot,61.137,11.443,Boreal
1878,Point,T-19176,1005,65,1000-1200 AD,Oppland,Norway,Charcoal,Synnfjell,Iron production site,Picea,Picea,Nordre Land,60.879,9.986,Boreal
1879,Point,T-17035,1005,65,1000-1200 AD,Hedmark,Norway,Charcoal,Liermoen,Iron production site,Betula,Betula,Kongsvinger,60.219,12.07,Boreal
1880,Point,T-18204,1005,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Betula,Betula,Åmot,61.137,11.443,Boreal
1881,Point,T-18288,1000,65,1000-1200 AD,Oppland,Norway,Charcoal,Gudbrandslie,Iron production site,Picea,Picea,Vang,61.156,8.743,Alpine
1882,Point,T-17575,990,65,1000-1200 AD,Telemark,Norway,Charcoal,Storhaug,Iron production site,Pinus,Pinus,Vinje,59.828,8.117,Alpine
1883,Point,T-16903,985,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1884,Point,Tua-4650,980,65,1000-1200 AD,Hedmark,Norway,Charcoal,Liermoen,Iron production site,Betula,Betula,Kongsvinger,60.219,12.07,Boreal
1885,Point,T-18615,980,65,1000-1200 AD,Hedmark,Norway,Charcoal,Audenby,Iron production site,Pinus,Pinus,Våler,60.746,11.912,Boreal
1886,Point,T-17975,970,65,1000-1200 AD,Hedmark,Norway,Charcoal,Jfp.6,Iron production site,Picea,Picea,Åmot,61.137,11.443,Boreal
1887,Point,T-18614,960,65,1000-1200 AD,Hedmark,Norway,Charcoal,Audenby,Iron production site,Pinus,Pinus,Våler,60.746,11.912,Boreal
1888,Point,T-18208,950,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1889,Point,T-16878,945,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1890,Point,T-18360,945,65,1000-1200 AD,Oppland,Norway,Charcoal,Hovemoen,Iron production site,Pinus,Pinus,Lillehammer,61.148,10.388,Boreal
1891,Point,T-17902,940,65,1000-1200 AD,Buskerud,Norway,Charcoal,Jfp.7,Iron production site,Picea,Picea,Hol,60.482,8.076,Alpine
1892,Point,T-19148,940,65,1000-1200 AD,Buskerud,Norway,Charcoal,Jfp.17,Iron production site,Picea,Picea,Hol,60.482,8.076,Alpine
1893,Point,T-19179,930,65,1000-1200 AD,Oppland,Norway,Charcoal,Synnfjell,Iron production site,Pinus,Pinus,Nordre Land,60.879,9.986,Boreal
1894,Point,T-13820,925,65,1000-1200 AD,Oppland,Norway,Charcoal,Rustmoen,Iron production site,Pinus,Pinus,Nord-Fron,61.494,9.311,Alpine
1895,Point,T-18266,915,65,1000-1200 AD,Oppland,Norway,Charcoal,Beito Høyfj,Iron production site,Pinus,Pinus,Øystre Slidre,61.184,9.06,Boreal
1896,Point,T-19028,915,65,1000-1200 AD,Oppland,Norway,Charcoal,Lomoen,Iron production site,Pinus,Pinus,Nord-Fron,61.494,9.311,Alpine
1897,Point,T-17086,910,65,1000-1200 AD,Hedmark,Norway,Charcoal,Terningmoen,Iron production site,Betula,Betula,Elverum,60.764,10.813,Boreal
1898,Point,T-18425,905,65,1000-1200 AD,Oppland,Norway,Charcoal,ID38138,Iron production site,Pinus,Pinus,Vang,61.156,8.743,Alpine
1899,Point,T-17986,895,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1900,Point,T-12969,894,65,1000-1200 AD,Hedmark,Norway,Charcoal,Helsingbakken 1,Iron production site,Pinus,Pinus,Åmot,62.1667,11.4,Alpine
1901,Point,T-18284,890,65,1000-1200 AD,Oppland,Norway,Charcoal,Jfp.11,Iron production site,Picea,Picea,Vang,61.156,8.743,Alpine
1902,Point,T-13822,890,65,1000-1200 AD,Oppland,Norway,Charcoal,Rustmoen,Iron production site,Pinus,Pinus,Nord-Fron,61.494,9.311,Alpine
1903,Point,T-16893,885,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Betula,Betula,Åmot,61.137,11.443,Boreal
1904,Point,T-16891,880,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Betula,Betula,Åmot,61.137,11.443,Boreal
1905,Point,T-19026,880,65,1000-1200 AD,Oppland,Norway,Charcoal,Lomoen,Iron production site,Pinus,Pinus,Nord-Fron,61.494,9.311,Alpine
1906,Point,T-18280,875,65,1000-1200 AD,Oppland,Norway,Charcoal,Jfp.8,Iron production site,Pinus,Pinus,Vang,61.156,8.743,Alpine
1907,Point,T-17622,865,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1908,Point,T-16892,860,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Betula,Betula,Åmot,61.137,11.443,Boreal
1909,Point,T-13824,860,65,1000-1200 AD,Oppland,Norway,Charcoal,Rustmoen,Iron production site,Pinus,Pinus,Nord-Fron,61.494,9.311,Alpine
1910,Point,T-17295,860,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1911,Point,T-19331,755,65,1000-1200 AD,Telemark,Norway,Charcoal,Høymyr,Iron production site,Betula,Betula,Notodden,59.696,9.072,Boreal
1912,Point,T-17988,845,65,1000-1200 AD,Hedmark,Norway,Charcoal,Jfp.6,Iron production site,Picea,Picea,Åmot,61.137,11.443,Boreal
1913,Point,Tua-3265,845,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Betula,Betula,Åmot,61.137,11.443,Boreal
1914,Point,T-16875,845,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1915,Point,T-19140,845,65,1000-1200 AD,Buskerud,Norway,Charcoal,Jfp.12,Iron production site,Pinus,Pinus,Hol,60.482,8.076,Alpine
1916,Point,T-8454,722,65,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,Betula,Betula,Bykle,59.5667,7.3667,Alpine
1917,Point,T-8502,717,65,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,Betula,Betula,Bykle,59.5667,7.3667,Alpine
1918,Point,T-10634,716,65,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden Skisenter 1,Iron production site,Betula,Betula,Bykle,59.5667,7.35,Alpine
1919,Point,T-8457,716,65,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,Betula,Betula,Bykle,59.5667,7.3667,Alpine
1920,Point,Tua-1425,910,65,1000-1200 AD,Østfold,Norway,Charcoal,Rør nordre,Settlement site,Betula,Betula,Rygge,59.35,10.7333,Boreal
1921,Point,T-16745,975,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Settlement site,Betula,Betula,Åmot,61.137,11.443,Boreal
1922,Point,T-12788,970,65,1000-1200 AD,Akershus,Norway,Charcoal,Haug,Settlement site,Pinus,Pinus,Ullensaker,60.1333,11.15,Boreal
1923,Point,T-17604,932,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjell,Settlement site,Pinus,Pinus,Åmot,61.2833,11.65,Boreal
1924,Point,T-9208,874,65,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden,Other,Betula,Betula,Bykle,59.5667,7.3833,Alpine
1925,Point,T-9205,795,65,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden,Other,Betula,Betula,Bykle,59.5667,7.3833,Alpine
1926,Point,T-18421,1025,65,1000-1200 AD,Oppland,Norway,Charcoal,Gudbrandslie,Iron production site,Pinus,Pinus,Vang,61.156,8.743,Alpine
1927,Point,T-17715,1020,65,1000-1200 AD,Oppland,Norway,Charcoal,"Beito, Lepo",Iron production site,Pinus,Pinus,Øystre Slidre,61.184,9.06,Boreal
1928,Point,T-10938,780,65,1000-1200 AD,Aust-Agder,Norway,Charcoal,Hovden 3,Iron production site,Betula,Betula,Bykle,59.55,7.35,Alpine
1929,Point,T-10392,1005,65,1000-1200 AD,Hedmark,Norway,Charcoal,Vang allmenning,Iron production site,Picea,Picea,Hamar,60.821,11.119,Boreal
1930,Point,T-18181,1005,65,1000-1200 AD,Hedmark,Norway,Charcoal,Jfp.3,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1931,Point,T-18243,965,65,1000-1200 AD,Oppland,Norway,Charcoal,Gudbrandslie,Iron production site,Picea,Picea,Vang,61.156,8.743,Alpine
1932,Point,T-15469,890,65,1000-1200 AD,Hedmark,Norway,Charcoal,R586,Iron production site,Picea,Picea,Åmot,61.137,11.443,Boreal
1933,Point,T-16735,855,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1934,Point,T-16727,850,65,1000-1200 AD,Hedmark,Norway,Charcoal,R12,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1935,Point,T-17716,850,65,1000-1200 AD,Oppland,Norway,Charcoal,"Beito, Lepo",Iron production site,Pinus,Pinus,Øystre Slidre,61.184,9.06,Boreal
1936,Point,T-17937,1030,65,1000-1200 AD,Hedmark,Norway,Charcoal,Jfp.4,Iron production site,Picea,Picea,Åmot,61.137,11.443,Boreal
1937,Point,T-16737,960,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Betula,Betula,Åmot,61.137,11.443,Boreal
1938,Point,T-18332,950,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1939,Point,T-18210,890,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Picea,Picea,Åmot,61.137,11.443,Boreal
1940,Point,T-17292,880,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1941,Point,T-18331,880,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1942,Point,T-9398,879,65,1000-1200 AD,Hedmark,Norway,Charcoal,Narsetra,Iron production site,Picea,Picea,Løten,60.9167,11.4,Boreal
1943,Point,T-18235,860,65,1000-1200 AD,Oppland,Norway,Charcoal,Gudbrandslie,Iron production site,Pinus,Pinus,Vang,61.156,8.743,Alpine
1944,Point,T-16767,845,65,1000-1200 AD,Hedmark,Norway,Charcoal,R2,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1945,Point,T-17941,1000,65,1000-1200 AD,Hedmark,Norway,Charcoal,Jfp.3,Iron production site,Picea,Picea,Åmot,61.137,11.443,Boreal
1946,Point,T-17940,1000,65,1000-1200 AD,Hedmark,Norway,Charcoal,Jfp.3,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1947,Point,T-17290,965,65,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Picea,Picea,Åmot,61.137,11.443,Boreal
1948,Point,T-18003,915,65,1000-1200 AD,Hedmark,Norway,Charcoal,Jfp.6,Iron production site,Picea,Picea,Åmot,61.137,11.443,Boreal
1949,Point,T-12046,850,65,1000-1200 AD,Hedmark,Norway,Charcoal,V.142,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
1950,Point,T-14778,1023,65,1000-1200 AD,Hedmark,Norway,Charcoal,Sandbakken,Other,Pinus,Pinus,Sør-Odal,60.25,11.5833,Boreal
1951,Point,T-12975,959,65,1000-1200 AD,Hedmark,Norway,Charcoal,Riskogskoia,Other,Pinus,Pinus,Åmot,62.1667,11.4,Alpine
1952,Point,T-9470,856,65,1000-1200 AD,Oppland,Norway,Charcoal,Bråtehagan,Other,Pinus,Pinus,Vestre Slidre,61.061,8.996,Alpine
1953,Point,Tua-3842,2750,65,1000-800 BC,Østfold,Norway,Charcoal,Rørbekk 2,Settlement site," Betula, Salix",Betula,Halden,59.079,11.495,Boreal
1954,Point,Tua-3842,2750,65,1000-800 BC,Østfold,Norway,Charcoal,Rørbekk 2,Settlement site," Betula, Salix",Salix,Halden,59.079,11.495,Boreal
1955,Point,Tua-3272,2655,65,1000-800 BC,Østfold,Norway,Charcoal,Torpum 8,Other, Quercus,Quercus,Halden,59.1013,11.2505,Boreal
1956,Point,T-18027,1850,65,1-200 AD,Oppland,Norway,Charcoal,Borgen,Iron production site,Picea/Pinus,Picea,Sør-Fron,61.551,9.88,Boreal
1957,Point,T-18027,1850,65,1-200 AD,Oppland,Norway,Charcoal,Borgen,Iron production site,Picea/Pinus,Pinus,Sør-Fron,61.551,9.88,Boreal
1958,Point,T-15063,1986,65,1-200 AD,Buskerud,Norway,Charcoal,Hov,Other,Pinus,Pinus,Ringerike,66.7,5.7,Boreal
1959,Point,T-13795,1865,65,1-200 AD,Trøndelag,Norway,Charcoal,"S. Liavollen, Rotldalen",Iron production site,Pinus,Pinus,Selbu,63.187,11.165,Atlantic
1960,Point,T-12934,2000,65,1-200 AD,Rogaland,Norway,Charcoal,Tagholt,Iron production site,Picea,Picea,Lund,58.463,6.528,Atlantic
1961,Point,T-16336,2000,65,1-200 AD,Oppland,Norway,Charcoal,SnertR19,Iron production site,Pinus,Pinus,Gjøvik,60.835,10.617,Boreal
